year,county,stage,station_id,yield_bu_acre,acres_planted,acres_harvested,production_bu,harvest_efficiency,opt_temp_min,opt_temp_max,opt_precip,stage_duration_days,stage_start_date,stage_end_date,days_with_data,expected_days,data_completeness,PRCP_total,PRCP_avg,PRCP_max,TAVG_avg,TMAX_avg,TMIN_avg,TMAX_max,TMIN_min,SNOW_total,SNWD_avg,SNWD_max,AWND_avg,WT03_count,WT05_count,WT10_count,WT11_count,temp_deviation,temp_stress_indicator,cold_stress_flag,heat_stress_flag,precip_deviation,drought_risk_flag,flood_risk_flag,water_stress_indicator,total_extreme_weather_days,hail_events,tornado_events,high_wind_events,thunder_events,critical_hail_reproductive,GDD
2019,HARDIN,germination,USW00093815,47.9,77500,76900,3686000,99.23,15,20,50,22,2019-05-10,2019-06-01,23,23,1.0,4.19,0.18217391304347827,1.26,65.69565217391305,75.08695652173913,56.73913043478261,88.0,42.0,0.0,0.0,0.0,9.64782608695652,9,0,0,0,48.2,2.285,0,1,45.81,1,0,0.616,9,0,0,0,9,0,33.37
2019,HARDIN,vegetative,USW00093815,47.9,77500,76900,3686000,99.23,20,30,100,48,2019-06-02,2019-07-20,49,49,1.0,7.55,0.1540816326530612,1.52,74.44897959183673,84.06122448979592,65.77551020408163,93.0,50.0,0.0,0.0,0.0,8.65530612244898,16,1,0,0,49.45,1.482,0,1,92.45,1,0,0.624,17,1,0,0,16,0,37.89
2019,HARDIN,reproductive,USW00093815,47.9,77500,76900,3686000,99.23,22,28,125,81,2019-07-21,2019-10-10,82,82,1.0,4.23,0.05158536585365854,1.86,73.0,84.09756097560975,62.28048780487805,94.0,44.0,0.0,0.0,0.0,7.802073170731706,10,0,0,0,48.0,1.607,0,1,120.77,1,0,0.666,10,0,0,0,10,0,36.14
2019,HENRY,germination,USW00014838,57.0,91500,91000,5186000,99.45,15,20,50,22,2019-05-10,2019-06-01,23,23,1.0,2.51,0.10913043478260868,0.94,66.26086956521739,76.17391304347827,56.21739130434783,90.0,42.0,0.0,0.0,0.0,8.004782608695654,8,0,0,0,48.76,2.313,0,1,47.49,1,0,0.65,8,0,0,0,8,0,33.11
2019,HENRY,vegetative,USW00014838,57.0,91500,91000,5186000,99.45,20,30,100,48,2019-06-02,2019-07-20,49,49,1.0,9.35,0.19081632653061223,2.65,74.24489795918367,84.12244897959184,65.14285714285714,94.0,48.0,0.0,0.0,0.0,7.198775510204082,15,0,0,0,49.24,1.475,0,1,90.65,1,0,0.606,15,0,0,0,15,0,37.57
2019,HENRY,reproductive,USW00014838,57.0,91500,91000,5186000,99.45,22,28,125,81,2019-07-21,2019-10-10,82,82,1.0,5.300000000000001,0.06463414634146342,0.76,72.63414634146342,84.0,61.829268292682926,94.0,44.0,0.0,0.0,0.0,6.52548780487805,17,0,0,0,47.63,1.594,0,1,119.7,1,0,0.658,17,0,0,0,17,0,35.91
2019,HIGHLAND,germination,USW00093814,49.6,101000,100300,4970000,99.31,15,20,50,22,2019-05-10,2019-06-01,23,23,1.0,2.45,0.10652173913043479,0.52,64.17391304347827,74.26086956521739,53.26086956521739,86.0,40.0,0.0,0.0,0.0,8.62695652173913,8,0,0,0,46.67,2.209,0,1,47.55,1,0,0.651,8,0,0,0,8,0,31.63
2019,HIGHLAND,vegetative,USW00093814,49.6,101000,100300,4970000,99.31,20,30,100,48,2019-06-02,2019-07-20,49,49,1.0,13.920000000000002,0.28408163265306124,1.4,72.48979591836735,82.40816326530613,63.183673469387756,94.0,47.0,0.0,0.0,0.0,7.797551020408163,17,0,0,0,47.49,1.416,0,1,86.08,1,0,0.561,17,0,0,0,17,0,36.59
2019,HIGHLAND,reproductive,USW00093814,49.6,101000,100300,4970000,99.31,22,28,125,81,2019-07-21,2019-10-10,82,82,1.0,4.720000000000001,0.05756097560975611,0.73,70.76829268292683,81.67073170731707,60.76829268292683,93.0,42.0,0.0,0.0,0.0,7.3132926829268285,16,0,0,0,45.77,1.527,0,1,120.28,1,0,0.662,16,0,0,0,16,0,35.38
2019,KNOX,germination,USW00014821,50.5,53500,53000,2675000,99.07,15,20,50,22,2019-05-10,2019-06-01,23,23,1.0,3.6599999999999997,0.1591304347826087,1.35,67.0,76.56521739130434,57.82608695652174,88.0,41.0,0.0,0.0,0.0,8.169565217391304,6,0,0,0,49.5,2.35,0,1,46.34,1,0,0.627,6,0,0,0,6,0,33.91
